IDCONVERSOR;IPCONVERSOR;NUMCONVERSOR;NUMREMARCADOR;NUMPUERTO;TIPOREMARCADOR
1;192.168.102.181;2;21;1;circutorcvmC10
2;192.168.102.181;2;22;2;circutorcvmC10
3;192.168.102.181;2;23;3;circutorcvmC10
4;192.168.102.182;3;31;1;circutorcvmC10
5;192.168.102.182;3;32;2;circutorcvmC10
6;192.168.102.182;3;33;3;circutorcvmC10
7;192.168.102.183;4;41;1;circutorcvmC10
8;192.168.102.183;4;42;2;circutorcvmC10
9;192.168.102.183;4;43;3;circutorcvmC10
10;192.168.102.184;5;51;1;circutorcvmC10
11;192.168.102.186;6;61;1;circutorcvmC10
12;192.168.102.186;6;62;2;circutorcvmC10
13;192.168.102.186;6;63;3;circutorcvmC10
14;192.168.102.186;6;64;4;circutorcvmC10
15;192.168.102.186;6;65;5;circutorcvmC10
16;192.168.102.186;6;66;6;circutorcvmC10
17;192.168.102.186;6;67;7;circutorcvmC10
18;192.168.102.186;6;68;8;circutorcvmC10
19;192.168.102.187;7;71;1;circutorcvmC10
20;192.168.102.187;7;72;2;circutorcvmC10
21;192.168.102.188;8;83;3;circutorcvmC10
22;192.168.102.188;8;84;4;circutorcvmC10
23;192.168.102.188;8;85;5;circutorcvmC10
24;192.168.102.189;9;91;1;circutorcvmC10
25;192.168.102.189;9;92;2;circutorcvmC10
26;192.168.102.189;9;93;3;circutorcvmC10
27;192.168.102.189;9;94;4;circutorcvmC10
28;192.168.102.189;9;95;5;circutorcvmC10
29;192.168.102.190;10;101;1;schneiderPM5300
30;192.168.102.190;10;102;2;circutorcvmC10
31;192.168.102.191;11;111;1;circutorcvmC10
32;192.168.102.191;11;112;2;circutorcvmC10
33;192.168.102.191;11;113;3;circutorcvmC10
34;192.168.102.191;11;114;4;circutorcvmC10
35;192.168.102.191;11;115;5;circutorcvmC10
36;192.168.102.191;11;116;6;circutorcvmC10
37;192.168.102.191;11;117;7;circutorcvmC10
38;192.168.102.191;11;118;8;circutorcvmC10
39;192.168.102.191;11;119;9;circutorcvmC10
40;192.168.102.192;12;121;1;circutorcvmC10
41;192.168.102.192;12;122;2;circutorcvmC10
42;192.168.102.193;13;131;1;circutorcvmC10
43;192.168.102.194;14;141;1;circutorcvmC10
44;192.168.102.194;14;142;2;circutorcvmC10
45;192.168.102.194;14;143;3;circutorcvmC10
46;192.168.170.201;15;151;1;circutorcvmC10
47;192.168.170.201;15;152;2;circutorcvmC11
48;192.168.102.195;16;161;1;circutorcvmC10
49;192.168.102.196;17;171;1;circutorcvmC10
50;192.168.102.185;19;191;1;circutorcvmC10
51;192.168.20.100;37;371;1;schneiderPM710
52;192.168.20.100;37;372;2;schneiderPM710
53;192.168.20.100;37;373;3;schneiderPM5300
54;192.168.20.100;37;374;4;schneiderPM710
55;192.168.20.100;37;375;5;schneiderPM710
56;192.168.20.100;37;376;6;schneiderPM710
57;192.168.20.100;37;377;7;schneiderPM710
58;192.168.20.100;37;378;8;schneiderPM710
59;192.168.20.100;37;379;9;schneiderPM710
60;192.168.20.100;37;3710;10;schneiderPM710
61;192.168.20.100;37;3711;11;schneiderPM710
62;192.168.20.100;37;3712;12;schneiderPM710
63;192.168.20.100;37;3713;13;schneiderPM710
64;192.168.20.100;37;3714;14;schneiderPM5300
65;192.168.94.2;38;381;1;schneiderPM710
66;192.168.94.2;38;382;2;schneiderPM710
67;192.168.94.2;38;383;3;schneiderPM710
68;192.168.94.2;38;384;4;schneiderPM710
69;192.168.94.2;38;385;5;schneiderPM710
70;192.168.94.2;38;386;6;schneiderPM710
71;192.168.94.2;38;387;7;schneiderPM710
72;192.168.94.2;38;388;8;schneiderPM710
73;192.168.94.2;38;389;9;schneiderPM710
74;192.168.94.2;38;3810;10;schneiderPM710
75;192.168.94.2;38;3811;11;schneiderPM710
76;192.168.94.2;38;3812;12;schneiderPM710
77;192.168.94.2;38;3813;13;schneiderPM5300
78;192.168.94.2;38;3814;14;schneiderPM710
79;192.168.94.3;39;391;1;schneiderPM710
80;192.168.94.3;39;392;2;schneiderPM710
81;192.168.94.3;39;393;3;schneiderPM710
82;192.168.94.3;39;394;4;schneiderPM710
83;192.168.94.3;39;395;5;schneiderPM710
84;192.168.94.3;39;396;6;schneiderPM710
85;192.168.94.3;39;397;7;schneiderPM710
86;192.168.94.3;39;398;8;schneiderPM710
87;192.168.94.3;39;399;9;schneiderPM710
88;192.168.94.3;39;3910;10;schneiderPM710
89;192.168.94.3;39;3911;11;schneiderPM710
90;192.168.94.3;39;3912;12;schneiderPM710
91;192.168.94.3;39;3913;13;schneiderPM710
92;192.168.18.254;40;401;1;circutorcvmC10
93;192.168.18.254;40;402;2;circutorcvmC10
94;192.168.18.254;40;403;3;circutorcvmC10
95;192.168.18.254;40;404;4;circutorcvmC10
96;192.168.18.254;40;405;5;circutorcvmC10
97;192.168.18.254;40;406;6;circutorcvmC10
98;192.168.18.254;40;407;7;circutorcvmC10
99;192.168.18.254;40;408;8;circutorcvmC10
